Host.Species,Lake,Year,Julian.Day,Julian,Date,Date2,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,metsch.prev,spiro.prev,brood.prev,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
ambigua,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
ambigua,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,17,13,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
ceriodaphnia,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,3,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
ceriodaphnia,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,65,38,26,0,0,1,0,0,0,0,0,0,NA,NA,NA,0.015384615,0,0,0,0,0,0,NA,NA,NA,3268,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
ceriodaphnia,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,127,72,55,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,8600.1,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
ceriodaphnia,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,65,38,24,0,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2580,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
ceriodaphnia,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,559,86,108,0,10,1,0,0,1,0,0,0,NA,NA,NA,0.001788909,0,0,0.001788909,0,0,0,NA,NA,NA,20640.2,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
ceriodaphnia,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,261,55,83,63,0,1,0,0,2,0,0,0,NA,NA,NA,0.003831418,0,0,0.007662835,0,0,0,NA,NA,NA,20425.2,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
ceriodaphnia,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,306,51,45,40,167,1,0,1,0,0,0,0,NA,NA,NA,0.003267974,0,0.003267974,0,0,0,0,NA,NA,NA,13186.8,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
dentifera,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,381,158,189,1,0,2,1,4,0,0,0,0,NA,NA,NA,0.005249344,0.002624672,0.010498688,0,0,0,0,NA,NA,NA,16340.1,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
dentifera,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,138,59,76,0,0,2,0,1,0,0,0,0,NA,NA,NA,0.014492754,0,0.007246377,0,0,0,0,NA,NA,NA,9460.1,142761.2,9460.1,860,120831,0,10750.1,0,860,0
dentifera,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,146,53,91,0,0,0,2,0,0,0,0,0,NA,NA,NA,0,0.01369863,0,0,0,0,0,NA,NA,NA,7310.1,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
dentifera,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,200,66,132,0,0,2,0,0,0,0,0,0,NA,NA,NA,0.01,0,0,0,0,0,0,NA,NA,NA,19780.2,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
dentifera,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,201,89,106,0,0,3,2,0,0,0,0,0,NA,NA,NA,0.014925373,0.009950249,0,0,0,0,0,NA,NA,NA,22933.5,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
dentifera,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,206,107,92,3,0,1,0,0,0,0,0,0,NA,NA,NA,0.004854369,0,0,0,0,0,0,NA,NA,NA,22790.2,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
dentifera,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,306,69,192,16,0,1,0,0,2,0,0,0,NA,NA,NA,0.003267974,0,0,0.006535948,0,0,0,NA,NA,NA,73100.6,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
dentifera,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,352,100,127,100,21,1,0,0,3,0,0,0,NA,NA,NA,0.002840909,0,0,0.008522727,0,0,0,NA,NA,NA,48160.4,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
dentifera,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,227,49,44,114,20,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,39560.3,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
dubia,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,171,41,128,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,0.005847953,0.005847953,0,0,0,NA,NA,NA,8600.1,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
dubia,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,51,19,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,10750.1,142761.2,9460.1,860,120831,0,10750.1,0,860,0
dubia,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,154,41,111,0,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.012987013,0,0,0,0,NA,NA,NA,13330.1,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
dubia,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,227,83,142,0,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.008810573,0,0,0,0,NA,NA,NA,13330.1,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
dubia,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,197,57,132,0,0,1,0,2,5,0,0,0,NA,NA,NA,0.005076142,0,0.010152284,0.025380711,0,0,0,NA,NA,NA,9030.1,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
dubia,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,35,10,23,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,0.028571429,0.028571429,0,0,0,NA,NA,NA,1720,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
dubia,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,111,40,67,1,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.009009009,0,0,0,NA,NA,NA,10893.4,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
dubia,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,45,11,33,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.022222222,0,0,0,NA,NA,NA,4300,126636,48160.4,0,52890.4,20425.2,4300,0,860,0
dubia,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,93,58,27,1,0,0,0,0,7,0,0,0,NA,NA,NA,0,0,0,0.075268817,0,0,0,NA,NA,NA,7740.1,152507.9,39560.3,0,92020.7,13186.8,7740.1,0,0,0
parvula,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,2,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
pulicaria,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,77,24,53,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2293.4,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
