line,dose,age,code,rep,Metsch,whiteglobs,ExposureDate,DeathDate,censored,status,Notes
Mid67,control,middle,CM1,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM1,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM1,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM2,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM2,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM2,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM2,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM2,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM3,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM3,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM3,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM3,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM4,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM4,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM4,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM4,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM4,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM5,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM5,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM5,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM5,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,control,middle,CM5,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO1,1,1,1,7/21/2021,8/5/2021,,2,
Mid67,high,old,HO1,2,1,0,7/21/2021,8/9/2021,,2,
Mid67,high,old,HO1,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO1,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO1,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO2,1,0,0,7/21/2021,7/28/2021,,2,
Mid67,high,old,HO2,2,1,0,7/21/2021,8/9/2021,censored,1,sacrificed alive
Mid67,high,old,HO2,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO2,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO2,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO3,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO3,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO3,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO3,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO3,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO4,1,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO4,2,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO4,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO4,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO4,5,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO5,1,1,0,7/21/2021,8/2/2021,,2,
Mid67,high,old,HO5,2,1,0,7/21/2021,8/9/2021,,2,
Mid67,high,old,HO5,3,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO5,4,0,0,7/21/2021,8/9/2021,censored,1,
Mid67,high,old,HO5,5,0,0,7/21/2021,8/9/2021,censored,1,
